age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
27,5,300777,11,9,0,13,1,4,1,0,0,70,38,<=50K
26,3,41521,11,9,4,7,1,4,0,0,0,35,38,<=50K
18,3,302859,11,9,4,11,3,4,1,0,0,20,38,<=50K
67,4,112318,0,6,2,2,0,4,1,0,0,40,38,<=50K
19,3,405526,11,9,4,5,3,4,1,0,0,40,38,<=50K
21,3,283969,11,9,4,2,3,4,1,0,0,40,25,<=50K
17,3,151141,1,7,4,5,3,4,1,0,0,15,38,<=50K
35,3,187693,11,9,4,6,3,4,1,0,0,40,38,<=50K
30,1,131776,12,14,4,0,1,4,0,0,0,40,38,<=50K
44,3,121130,11,9,0,7,4,4,0,0,0,40,38,<=50K
23,3,297152,15,10,4,0,3,2,0,0,0,25,38,<=50K
48,4,481987,0,6,2,3,0,4,1,0,0,40,38,<=50K
44,1,196456,12,14,4,9,1,4,0,0,1669,40,38,<=50K
46,5,245724,15,10,0,3,1,4,1,0,0,50,38,<=50K
48,3,254809,0,6,0,6,4,4,0,0,1594,32,38,<=50K
19,3,170800,11,9,4,2,3,4,1,0,0,60,38,<=50K
30,3,67187,11,9,4,5,3,0,0,0,0,8,38,<=50K
20,3,190772,7,12,4,7,1,4,0,0,0,40,38,<=50K
58,4,183870,0,6,2,13,5,4,0,0,0,40,38,<=50K
37,3,182668,0,6,2,13,0,4,1,0,0,35,38,<=50K
62,3,345780,8,11,0,7,1,4,1,0,0,40,38,<=50K
35,3,148903,11,9,0,11,4,4,0,0,0,40,38,<=50K
65,3,106910,1,7,0,9,1,1,0,0,0,15,38,<=50K
48,3,33669,15,10,2,13,0,4,1,0,0,60,38,<=50K
36,3,188571,11,9,2,2,0,4,1,0,0,40,38,<=50K
51,3,269080,5,4,6,7,4,2,0,0,0,40,38,<=50K
35,3,119992,7,12,2,2,0,4,1,0,0,45,38,<=50K
22,3,309178,11,9,4,13,3,4,1,0,0,40,38,<=50K
32,3,302845,11,9,2,3,5,4,0,0,0,48,38,<=50K
21,3,197387,11,9,4,5,3,4,1,0,0,20,38,<=50K
43,3,233130,11,9,0,11,1,4,1,0,0,20,38,<=50K
25,3,250038,8,11,4,0,1,4,1,0,0,40,38,<=50K
23,3,149224,11,9,4,11,1,4,1,0,0,40,38,<=50K
27,5,151402,11,9,2,4,0,4,1,0,1573,70,38,<=50K
50,3,183638,11,9,6,11,4,4,0,0,0,40,38,<=50K
75,4,125197,11,9,2,0,0,4,1,0,0,26,38,<=50K
20,3,210781,15,10,4,9,3,4,0,0,0,10,38,<=50K
43,3,233130,15,10,4,0,1,4,1,0,0,25,38,<=50K
40,3,239708,11,9,0,2,1,4,1,0,0,50,38,<=50K
17,3,329783,0,6,4,11,2,4,0,0,0,10,38,<=50K
27,6,249362,15,10,2,13,0,4,1,3411,0,40,38,<=50K
38,0,48123,15,10,0,3,1,4,0,0,0,40,38,<=50K
61,6,162678,4,3,2,13,0,4,1,0,0,40,38,<=50K
17,3,365613,0,6,4,7,3,4,1,0,0,10,1,<=50K
55,5,95149,15,10,2,13,0,4,1,0,0,99,38,<=50K
24,5,277700,15,10,5,5,3,4,1,0,0,45,38,<=50K
48,3,115585,9,13,2,11,0,4,1,0,0,40,38,<=50K
54,3,286989,13,1,2,4,0,4,1,0,0,60,38,<=50K
32,3,45796,15,10,2,4,0,4,1,0,0,60,38,<=50K
32,3,176998,9,13,2,3,0,4,1,0,0,40,38,<=50K
47,5,258498,15,10,2,7,5,4,0,0,0,52,38,<=50K
30,1,44566,9,13,2,9,0,4,1,0,0,80,38,<=50K
57,3,250201,1,7,2,7,0,4,1,0,0,52,38,<=50K
56,6,274111,12,14,0,9,1,4,1,0,1669,40,38,<=50K
19,3,60661,11,9,4,5,3,4,1,0,0,52,38,<=50K
36,3,177907,15,10,2,6,0,4,1,0,0,65,38,<=50K
51,3,103824,11,9,4,7,1,2,1,0,0,40,13,<=50K
35,3,82552,7,12,2,12,0,4,1,0,0,40,38,<=50K
20,3,122649,11,9,4,7,1,4,0,0,0,30,38,<=50K
36,3,28996,15,10,2,11,0,4,1,0,0,45,38,<=50K
29,3,263855,2,8,4,2,4,4,1,0,0,40,38,<=50K
67,3,159542,4,3,6,9,4,2,0,0,0,40,38,<=50K
22,3,356567,8,11,0,12,1,4,1,0,0,60,38,<=50K
26,5,93806,15,10,2,11,0,4,1,0,0,55,38,<=50K
58,5,321171,11,9,2,5,0,4,1,0,0,40,38,<=50K
23,3,193586,15,10,5,4,2,4,0,0,0,40,38,<=50K
33,3,243674,11,9,5,12,1,4,1,0,0,46,38,<=50K
26,3,291586,9,13,4,13,3,4,1,0,0,20,38,<=50K
47,3,199832,11,9,2,2,0,4,1,0,0,40,38,<=50K
36,3,212433,11,9,4,2,3,2,1,0,0,40,38,<=50K
57,6,283635,15,10,0,2,1,4,0,0,0,40,38,<=50K
56,3,226985,7,12,2,7,0,4,1,0,0,50,38,<=50K
52,3,165681,15,10,2,3,0,4,1,0,0,40,38,<=50K
29,5,212895,15,10,0,6,1,4,1,0,0,48,38,<=50K
31,3,142038,11,9,2,2,5,4,0,0,0,45,38,<=50K
19,3,188669,15,10,4,11,3,4,0,0,0,25,38,<=50K
43,5,271665,11,9,2,11,0,4,1,0,0,45,38,<=50K
30,3,257849,5,4,2,2,0,4,1,0,0,48,38,<=50K
34,3,48014,9,13,5,3,1,4,0,0,0,35,38,<=50K
25,3,210794,9,13,4,9,3,4,0,0,0,40,38,<=50K
27,3,278122,11,9,4,13,3,4,1,0,0,40,38,<=50K
31,3,176360,11,9,4,2,3,2,1,0,0,40,38,<=50K
26,3,60722,9,13,4,9,3,1,0,0,0,40,38,<=50K
34,1,303867,6,5,4,7,3,4,1,0,0,40,38,<=50K
17,3,438996,0,6,4,7,2,4,1,0,0,40,25,<=50K
28,1,100270,9,13,0,9,1,4,1,0,0,40,38,<=50K
27,3,236246,7,12,2,3,0,4,1,0,0,40,38,<=50K
35,3,283122,15,10,2,12,0,4,1,0,0,45,38,<=50K
38,3,229236,11,9,2,13,0,3,1,0,0,40,32,<=50K
24,3,153082,11,9,4,11,1,4,1,0,0,30,38,<=50K
41,3,206066,15,10,2,6,0,4,1,0,0,40,38,<=50K
18,3,107277,1,7,4,11,3,4,0,0,0,20,38,<=50K
67,3,132057,11,9,2,9,0,2,1,0,0,20,38,<=50K
24,3,152140,11,9,2,9,5,4,0,0,0,40,38,<=50K
49,4,201080,15,10,0,2,1,4,1,0,0,55,38,<=50K
46,3,140782,7,12,0,9,1,4,0,0,0,50,38,<=50K
30,3,130021,5,4,2,2,0,4,1,2829,0,40,38,<=50K
19,3,375114,11,9,4,2,1,4,0,0,0,40,38,<=50K
20,3,293091,11,9,4,9,3,4,1,0,0,12,38,<=50K
51,5,259323,11,9,2,2,0,4,1,0,0,70,38,<=50K
38,3,296999,9,13,4,3,1,4,0,0,0,70,38,<=50K
49,6,118567,15,10,2,4,0,4,1,0,0,40,38,<=50K
17,3,110998,15,10,4,9,3,1,0,0,0,40,29,<=50K
72,3,116640,15,10,2,9,0,4,1,3471,0,20,38,<=50K
20,0,225515,15,10,4,12,3,4,0,0,0,24,38,<=50K
42,3,201495,9,13,2,3,0,4,1,0,0,40,38,<=50K
48,5,218835,12,14,2,11,0,4,1,0,0,50,8,<=50K
25,3,124111,9,13,4,0,3,4,0,0,0,40,38,<=50K
54,3,76344,9,13,4,7,1,4,0,0,0,50,38,<=50K
25,3,374918,2,8,2,7,5,4,0,0,0,40,38,<=50K
36,3,175643,11,9,2,2,0,4,1,0,0,35,38,<=50K
19,3,291429,11,9,4,7,3,4,0,0,0,25,38,<=50K
44,1,236321,11,9,0,13,3,4,1,0,0,25,38,<=50K
35,3,108293,15,10,4,0,3,4,0,0,2205,40,38,<=50K
19,3,28967,15,10,4,9,1,4,1,0,0,40,38,<=50K
22,3,184779,11,9,4,9,1,4,0,0,0,40,38,<=50K
35,3,107160,2,8,5,7,1,4,0,0,0,30,38,<=50K
31,3,374833,3,2,2,5,0,4,1,0,0,40,25,<=50K
73,3,220019,6,5,6,7,4,4,0,0,0,9,38,<=50K
45,0,380127,9,13,4,3,1,4,0,0,0,40,38,<=50K
20,3,117222,15,10,4,12,3,4,1,0,0,15,38,<=50K
27,3,80165,15,10,5,0,4,4,0,0,0,20,38,<=50K
52,3,172165,0,6,0,7,2,4,0,0,0,25,38,<=50K
48,3,236858,1,7,0,7,1,4,0,0,0,31,38,<=50K
49,3,178749,12,14,3,0,4,4,0,0,0,40,38,<=50K
38,3,149347,15,10,0,11,1,4,1,0,0,60,38,<=50K
33,4,206609,11,9,2,3,0,4,1,0,0,50,38,<=50K
28,5,278073,11,9,4,6,2,2,1,0,0,30,38,<=50K
60,3,143932,11,9,2,2,0,4,1,0,0,40,38,<=50K
20,3,309580,11,9,4,0,3,4,1,0,0,40,38,<=50K
22,3,203894,15,10,4,13,1,4,0,0,0,24,38,<=50K
18,3,111476,1,7,4,5,3,4,1,0,0,40,38,<=50K
27,3,130807,7,12,2,12,0,4,1,0,0,40,38,<=50K
61,3,35649,15,10,2,7,0,4,1,0,0,6,38,<=50K
25,3,182866,11,9,4,6,3,4,1,0,0,40,38,<=50K
19,3,145844,7,12,4,3,1,4,0,0,0,50,38,<=50K
22,3,201490,11,9,4,0,3,4,1,0,0,20,38,<=50K
75,3,191446,3,2,2,7,2,2,0,0,0,16,38,<=50K
37,3,254202,9,13,2,11,0,4,1,0,0,50,38,<=50K
23,3,119838,9,13,4,9,3,4,1,0,0,50,38,<=50K
29,3,262208,15,10,4,7,1,2,0,0,0,30,22,<=50K
22,3,125010,8,11,4,8,1,4,0,0,0,30,38,<=50K
64,0,161926,11,9,2,9,0,4,1,0,0,8,38,<=50K
21,3,107801,15,10,4,9,3,4,0,0,0,6,38,<=50K
35,3,189922,11,9,2,2,0,4,1,0,0,40,38,<=50K
23,3,60668,0,6,2,2,0,4,1,0,0,40,31,<=50K
25,3,189219,9,13,4,12,3,4,0,0,0,16,38,<=50K
38,6,220421,9,13,4,3,1,4,0,0,0,40,38,<=50K
32,3,236770,15,10,0,11,1,4,1,0,0,50,38,<=50K
24,3,140027,15,10,4,6,3,2,0,0,0,45,38,<=50K
24,3,211391,0,6,4,11,1,4,0,0,0,15,38,<=50K
25,1,203408,15,10,2,7,0,4,1,0,0,40,38,<=50K
31,6,86143,11,9,4,10,2,1,1,0,0,40,38,<=50K
46,3,35969,9,13,2,3,0,4,1,0,0,51,38,<=50K
40,3,408229,3,2,4,7,1,4,1,0,0,45,7,<=50K
42,3,187294,15,10,0,2,4,4,1,0,0,40,38,<=50K
19,3,27433,1,7,4,5,1,4,1,0,0,40,38,<=50K
32,3,140092,1,7,2,2,0,4,1,0,0,40,38,<=50K
45,5,114396,9,13,0,9,1,4,1,0,0,35,38,<=50K
25,3,178037,11,9,2,13,0,4,1,0,0,40,38,<=50K
40,3,200574,7,12,2,12,0,4,1,0,0,44,38,<=50K
43,3,62857,15,10,2,2,0,4,1,0,0,60,38,<=50K
37,3,177181,11,9,2,2,0,4,1,0,0,40,38,<=50K
53,1,135102,11,9,2,7,0,4,1,0,2002,45,38,<=50K
43,3,218558,11,9,2,9,0,4,1,0,0,40,38,<=50K
21,3,224640,15,10,4,11,3,4,0,0,0,40,38,<=50K
43,1,598995,9,13,0,9,4,2,0,0,0,42,38,<=50K
23,3,62278,11,9,4,2,4,4,1,0,0,40,38,<=50K
44,3,191256,11,9,2,6,0,4,1,0,0,40,38,<=50K
46,1,141058,11,9,2,3,0,4,1,0,0,65,38,<=50K
24,4,189148,15,10,4,13,3,4,1,0,0,40,38,<=50K
74,3,84197,12,14,0,11,1,4,0,0,0,10,38,<=50K
25,3,276310,6,5,2,6,0,4,1,0,0,40,25,<=50K
17,3,89821,1,7,4,7,3,4,1,0,0,10,38,<=50K
67,3,257557,5,4,2,13,0,2,1,10566,0,40,38,<=50K
29,3,153805,11,9,4,6,2,3,1,0,0,40,6,<=50K
28,3,39232,9,13,4,9,1,4,1,0,0,45,38,<=50K
30,3,149427,6,5,4,2,3,4,1,0,0,45,38,<=50K
34,3,231238,6,5,5,4,4,2,1,0,0,40,38,<=50K
55,5,170350,11,9,0,7,2,4,0,0,0,40,38,<=50K
46,3,282538,8,11,5,6,1,2,0,0,0,40,38,<=50K
65,3,198019,11,9,6,9,1,4,0,0,0,35,38,<=50K
46,3,164682,8,11,5,9,1,4,1,0,0,40,38,<=50K
45,6,127089,12,14,0,3,1,4,1,0,0,45,38,<=50K
22,6,121471,9,13,4,9,1,4,0,0,0,40,38,<=50K
20,3,133061,6,5,4,9,3,4,1,0,0,40,38,<=50K
29,3,132874,11,9,2,2,0,4,1,0,0,40,38,<=50K
27,3,130438,11,9,4,6,1,4,1,0,0,40,38,<=50K
28,3,118861,0,6,2,2,5,3,0,0,0,48,12,<=50K
21,3,376929,4,3,4,8,1,4,0,0,0,40,25,<=50K
23,3,208826,9,13,4,7,1,4,0,0,0,40,38,<=50K
42,0,31621,7,12,0,0,1,4,0,0,0,40,38,<=50K
33,3,79303,11,9,2,4,0,4,1,0,0,45,38,<=50K
47,5,149116,12,14,4,9,1,4,0,0,0,50,38,<=50K
31,6,286911,15,10,2,0,0,4,1,0,0,38,38,<=50K
22,3,208946,15,10,4,6,1,4,1,0,0,40,38,<=50K
19,3,117444,11,9,4,9,3,4,1,0,0,30,38,<=50K
38,3,186191,11,9,2,2,0,4,1,0,0,55,38,<=50K
25,3,261519,11,9,4,11,3,4,1,0,0,35,38,<=50K
29,0,208534,14,15,2,9,0,4,1,0,0,80,38,<=50K
20,3,371089,11,9,4,9,3,4,0,0,0,40,38,<=50K
39,3,388023,11,9,0,3,1,4,0,0,0,38,38,<=50K
81,3,364099,15,10,0,0,1,4,0,0,0,20,38,<=50K
42,3,245317,0,6,2,13,0,4,1,0,0,50,38,<=50K
60,1,232769,1,7,2,13,0,4,1,0,0,20,38,<=50K
35,3,310290,11,9,2,13,5,2,0,0,0,40,38,<=50K
50,3,558490,11,9,0,0,1,2,1,0,0,40,38,<=50K
17,3,186677,1,7,4,5,3,4,1,0,0,12,38,<=50K
17,3,170320,1,7,4,9,3,4,0,0,0,8,38,<=50K
60,1,313852,12,14,0,9,1,4,0,0,0,25,38,<=50K
44,3,113324,11,9,2,2,0,4,1,0,0,40,38,<=50K
32,3,113364,9,13,4,13,1,4,1,0,0,40,38,<=50K
22,3,157145,8,11,4,2,3,4,1,0,0,50,38,<=50K
75,3,125784,15,10,2,9,0,4,1,0,0,8,38,<=50K
26,3,211435,11,9,4,6,4,4,0,0,0,40,38,<=50K
53,3,195638,11,9,0,0,1,4,0,0,0,40,38,<=50K
21,3,231160,15,10,4,7,3,4,1,0,0,25,38,<=50K
32,3,379412,15,10,4,2,3,4,1,0,0,40,38,<=50K
25,3,135645,12,14,4,11,1,4,1,0,0,20,38,<=50K
53,3,144361,11,9,2,6,0,4,1,0,0,38,38,<=50K
25,3,313930,1,7,4,2,1,4,1,0,0,40,25,<=50K
38,3,167440,9,13,2,13,0,4,1,4508,0,40,38,<=50K
43,3,244172,11,9,2,6,0,4,1,0,0,35,38,<=50K
30,3,54929,11,9,2,11,0,4,1,0,0,55,38,<=50K
37,6,24342,15,10,2,3,0,4,1,0,0,38,38,<=50K
39,3,143445,11,9,2,7,2,2,0,0,0,40,38,<=50K
28,3,131310,11,9,5,9,4,4,0,0,0,40,38,<=50K
26,3,292303,11,9,4,5,3,4,0,0,0,40,38,<=50K
17,3,177629,1,7,4,11,3,4,0,0,0,20,38,<=50K
32,3,84179,11,9,4,5,1,4,0,0,0,45,38,<=50K
30,3,29522,15,10,2,11,5,4,0,0,0,40,38,<=50K
19,3,194095,15,10,4,9,3,4,1,0,0,40,38,<=50K
53,3,283320,9,13,0,12,1,4,0,0,0,40,38,<=50K
73,6,74040,5,4,0,7,1,1,0,0,0,40,38,<=50K
41,3,327606,2,8,5,2,1,2,1,0,0,40,38,<=50K
22,3,219941,15,10,4,9,3,2,1,0,0,40,38,<=50K
26,3,289980,4,3,2,4,0,4,1,0,0,30,25,<=50K
18,3,74054,1,7,4,11,3,3,0,0,0,20,38,<=50K
23,3,116830,2,8,4,2,1,4,1,0,0,50,38,<=50K
34,3,234537,7,12,0,11,1,4,1,0,0,40,38,<=50K
34,3,511361,15,10,4,7,3,2,1,0,0,40,38,<=50K
17,3,197732,1,7,4,7,3,4,0,0,0,12,38,<=50K
24,3,376393,8,11,4,11,1,4,0,0,0,40,38,<=50K
19,3,187161,15,10,4,11,3,4,0,0,0,25,38,<=50K
57,3,301514,11,9,2,11,0,4,1,0,0,40,38,<=50K
24,3,36058,9,13,4,11,1,4,1,0,0,50,38,<=50K
31,3,73514,11,9,4,11,3,1,0,0,0,40,38,<=50K
47,3,198901,11,9,2,2,0,4,1,0,0,48,38,<=50K
54,3,220115,15,10,0,0,1,4,1,0,0,30,38,<=50K
66,3,170617,12,14,6,9,1,4,1,0,0,6,38,<=50K
41,5,38876,8,11,2,4,0,4,1,0,0,60,38,<=50K
57,5,253914,3,2,2,11,0,4,1,0,0,35,25,<=50K
23,3,27776,11,9,2,7,0,4,1,0,0,40,38,<=50K
19,3,101509,15,10,4,9,3,4,1,0,0,32,38,<=50K
21,3,335570,15,10,4,6,3,4,1,0,0,30,38,<=50K
19,3,206399,11,9,4,6,3,2,0,0,0,40,38,<=50K
17,3,172050,1,7,4,5,3,4,1,0,0,16,38,<=50K
44,3,355728,15,10,5,3,1,4,1,0,1980,45,8,<=50K
78,3,111189,5,4,4,6,1,4,0,0,0,35,5,<=50K
20,3,373935,11,9,4,5,3,4,1,0,0,35,38,<=50K
57,3,296152,15,10,0,3,2,4,0,594,0,10,38,<=50K
26,3,292803,15,10,4,7,3,4,0,0,0,24,38,<=50K
17,4,325171,0,6,4,7,3,2,1,0,0,35,38,<=50K
27,3,200227,8,11,2,0,5,2,0,0,0,40,38,<=50K
28,3,102533,15,10,5,5,1,2,1,0,0,40,38,<=50K
25,3,51498,2,8,4,7,2,4,1,0,0,40,38,<=50K
43,1,98130,9,13,0,9,3,4,0,0,0,39,38,<=50K
30,3,185336,15,10,0,0,4,2,0,0,0,37,38,<=50K
32,3,328199,8,11,4,12,1,4,0,0,0,64,38,<=50K
50,3,210217,9,13,0,11,4,2,1,0,0,40,38,<=50K
33,3,278736,8,11,2,6,0,4,1,0,0,50,38,<=50K
19,3,164395,11,9,4,0,3,4,0,0,0,25,38,<=50K
36,3,149833,11,9,2,3,5,4,0,0,0,40,38,<=50K
26,3,459548,11,9,4,5,1,4,1,0,0,20,25,<=50K
27,3,209801,15,10,4,0,1,4,0,0,0,45,38,<=50K
58,3,259014,15,10,4,13,1,4,1,0,0,20,38,<=50K
42,3,367049,12,14,4,3,1,4,0,4650,0,40,38,<=50K
45,3,101656,0,6,4,6,1,1,1,0,0,40,39,<=50K
68,5,450580,11,9,2,4,0,4,1,0,0,20,38,<=50K
37,3,29145,8,11,4,7,1,4,1,0,0,40,38,<=50K
26,3,76491,12,14,2,9,0,4,1,0,0,20,38,<=50K
53,3,95540,15,10,0,0,4,4,0,1471,0,40,38,<=50K
25,3,44363,11,9,4,5,1,4,1,0,0,35,38,<=50K
44,3,326232,5,4,0,5,1,4,1,0,0,48,38,<=50K
28,3,230856,15,10,4,9,1,2,0,3325,0,50,38,<=50K
69,3,269499,11,9,6,5,1,4,0,0,0,8,38,<=50K
65,3,90907,4,3,2,7,0,1,1,0,0,40,38,<=50K
17,1,308901,1,7,4,0,3,4,0,0,0,15,38,<=50K
30,3,87561,7,12,4,12,1,4,0,0,0,40,38,<=50K
21,3,174907,11,9,4,0,3,4,0,0,0,40,38,<=50K
62,1,206063,15,10,0,7,1,4,1,0,0,45,38,<=50K
39,3,252327,6,5,5,2,3,4,1,0,0,35,25,<=50K
34,5,24961,11,9,2,4,0,4,1,0,0,80,38,<=50K
32,3,51150,8,11,0,0,4,4,0,0,0,40,38,<=50K
22,1,134181,11,9,4,5,2,4,1,0,0,50,38,<=50K
62,3,118696,11,9,2,2,0,4,1,0,0,40,38,<=50K
33,3,206512,15,10,0,9,1,4,1,0,0,40,38,<=50K
21,3,109869,11,9,4,2,3,4,1,0,0,30,38,<=50K
47,3,152073,11,9,0,6,4,4,0,0,0,40,38,<=50K
34,1,143699,15,10,2,7,5,4,0,0,0,40,38,<=50K
56,3,87584,11,9,6,7,4,4,0,0,0,40,38,<=50K
49,3,75673,11,9,4,0,3,1,0,0,0,40,38,<=50K
64,1,78866,11,9,0,0,1,4,0,0,0,40,38,<=50K
33,3,142675,9,13,4,5,1,4,1,0,0,30,38,<=50K
50,0,186272,15,10,2,3,0,4,1,0,0,40,38,<=50K
32,3,372317,6,5,5,7,4,4,0,0,0,23,25,<=50K
34,3,185041,11,9,4,9,1,4,0,0,1669,45,38,<=50K
62,3,123612,9,13,2,9,0,4,1,0,0,4,38,<=50K
56,3,121362,9,13,0,7,1,4,0,0,0,32,38,<=50K
19,3,20469,11,9,4,9,2,1,0,0,0,12,34,<=50K
57,3,79830,11,9,2,2,0,1,1,0,0,40,38,<=50K
33,3,97939,7,12,0,6,1,4,0,0,0,42,38,<=50K
26,3,132749,15,10,4,7,3,4,0,0,0,45,38,<=50K
43,3,209149,11,9,0,7,1,4,0,0,0,35,38,<=50K
29,3,114158,9,13,4,3,3,4,0,3325,0,10,38,<=50K
41,3,31221,11,9,0,7,4,4,0,0,0,30,38,<=50K
27,1,289039,15,10,4,10,4,1,0,0,0,40,38,<=50K
18,3,301948,11,9,4,10,3,4,1,34095,0,3,38,<=50K
33,6,357691,12,14,2,10,0,2,1,0,0,40,38,<=50K
51,3,136913,11,9,2,6,0,4,1,0,0,40,38,<=50K
47,3,200734,9,13,4,3,4,2,0,0,0,45,38,<=50K
36,3,58602,4,3,4,7,1,4,1,0,0,35,38,<=50K
20,3,117222,11,9,4,7,3,4,1,0,0,50,38,<=50K
37,0,470663,15,10,4,2,1,4,1,0,0,40,38,<=50K
40,3,126701,6,5,4,13,1,4,1,0,0,45,38,<=50K
42,6,136996,15,10,2,10,0,2,1,0,0,48,38,<=50K
27,5,328518,8,11,4,9,2,4,1,0,0,30,38,<=50K
25,6,328697,15,10,0,10,2,4,1,0,0,45,38,<=50K
20,3,306639,15,10,4,5,3,4,1,0,0,20,38,<=50K
23,3,449101,11,9,2,9,3,4,0,0,0,30,38,<=50K
50,1,92486,15,10,2,2,0,4,1,0,0,40,38,<=50K
42,5,102069,5,4,2,11,0,4,1,0,0,30,38,<=50K
57,5,192869,11,9,2,4,0,4,1,0,0,72,38,<=50K
34,3,314375,8,11,0,2,1,4,1,0,0,40,38,<=50K
58,3,142326,9,13,0,9,1,4,0,0,0,50,38,<=50K
52,3,74660,12,14,2,3,0,4,1,0,0,40,38,<=50K
22,3,306593,11,9,4,2,3,4,1,0,0,40,38,<=50K
23,3,183789,11,9,4,11,3,4,1,0,0,40,38,<=50K
24,3,243368,13,1,4,4,1,4,1,0,0,36,25,<=50K
31,1,402089,11,9,0,0,4,4,0,0,0,40,38,<=50K
70,3,92593,15,10,6,9,1,4,0,0,0,25,38,<=50K
29,3,153416,9,13,4,3,1,4,0,0,0,55,38,<=50K
28,5,123983,15,10,2,11,3,1,1,0,0,63,34,<=50K
60,3,132529,11,9,2,7,0,4,1,0,0,40,38,<=50K
31,1,176185,9,13,2,6,0,4,1,4064,0,40,38,<=50K
33,3,155475,11,9,2,11,0,4,1,0,0,40,38,<=50K
49,3,71195,12,14,4,9,1,4,1,0,0,60,38,<=50K
44,3,378251,11,9,2,0,5,4,0,0,0,38,38,<=50K
22,3,362589,7,12,4,11,1,4,0,0,0,15,38,<=50K
26,5,201138,8,11,4,7,1,4,0,0,0,35,38,<=50K
33,3,133278,11,9,4,0,3,2,0,0,0,40,38,<=50K
48,3,192791,11,9,2,6,0,4,1,0,0,40,38,<=50K
21,3,191243,15,10,4,7,3,4,1,0,0,40,38,<=50K
48,3,39986,11,9,4,5,1,4,1,0,0,40,38,<=50K
77,3,83601,14,15,2,3,0,4,1,0,0,40,38,<=50K
24,3,145111,11,9,4,6,1,4,1,0,0,45,38,<=50K
26,3,154604,11,9,0,11,4,4,0,0,0,40,38,<=50K
22,3,148187,1,7,4,7,2,4,1,0,0,40,38,<=50K
46,3,161508,0,6,4,6,1,2,1,0,0,40,38,<=50K
47,3,34248,11,9,2,0,0,4,1,0,0,38,38,<=50K
21,3,184543,11,9,4,11,1,4,0,0,0,40,38,<=50K
42,3,211253,9,13,0,3,4,4,0,0,0,40,38,<=50K
63,3,31389,1,7,4,4,1,4,1,0,0,12,38,<=50K
33,3,137310,11,9,4,6,3,4,0,0,0,40,38,<=50K
65,3,123484,11,9,6,9,2,4,0,0,0,25,38,<=50K
38,6,200289,10,16,2,9,0,1,1,0,0,40,35,<=50K
69,6,34339,11,9,2,10,0,4,1,0,0,40,38,<=50K
38,3,497788,11,9,2,2,0,4,1,0,0,50,38,<=50K
31,3,46807,9,13,4,12,1,4,1,0,0,40,38,<=50K
35,5,269300,9,13,4,7,1,2,0,0,0,60,38,<=50K
36,5,295127,11,9,2,4,0,4,1,0,0,84,38,<=50K
64,3,61892,11,9,6,8,1,4,0,0,0,15,38,<=50K
30,3,130078,9,13,4,11,1,4,0,0,0,45,38,<=50K
